iter	MultiClass
0	1.075463834
1	1.056347453
2	1.040752609
3	1.027428998
4	1.015235422
5	1.005252592
6	0.995827293
7	0.9867779835
8	0.978294757
9	0.9706101308
10	0.9636482375
11	0.9572769983
12	0.9502113911
13	0.9445135467
14	0.939451484
15	0.9341351558
16	0.9289399957
17	0.9245706218
18	0.920069987
19	019	0.914589720	020	0.910260421	021	0.906457622	022	0.902880123	023	0.898528524	024	0.894852425	025	0.891549326	26	0.8877347127	27	0.8849276328	28	0.881864729	029	0.878687930	030	0.875807531	031	0.872897232	032	0.870158033	033	0.867166334	034	0.864673535	035	0.861378236	36	0.8589884937	37	0.8567435138	38	0.854377743939	0.8517153204040	0.8493683814141	0.8469264035
42	0.8449485768
43	0.8425299544	44	0.8401061613
45	0.8378432781
46	0.8359945899
47	0.8338746822
48	0.8319858736
49	0.830161049
50	0.8279262431
51	0.8260450546
52	0.8242823491
53	0.8223687637
54	0.8203946934
55	0.8184811402
56	0.8170694793
57	0.8155935377
58	0.8137184614
59	0.8119794375
60	0.8103347009
61	0.8087697912
62	0.8071921158
63	0.805740334
64	0.8039186315
65	0.8023719623
66	0.8009534273
67	0.7995638261
68	0.7982156319
69	0.796691837
70	0.7953544533
71	0.7937658334
72	0.7924742966
73	0.7910675186
74	0.7899091585
75	0.7885845408
76	0.7873871762
77	0.7860446354
78	0.7847440645
79	0.7837655878
80	0.7827977233
81	0.7815912425
82	0.7804734109
83	0.7791809415
84	0.7778855163
85	0.7765035936
86	0.7753751715
87	0.7742819218
88	0.7734144719
89	0.7722618902
90	0.7714670713
91	0.770507713
92	0.7692215465
93	0.7680434985
94	0.7670798929
95	0.7657550053
96	0.7648674878
97	0.7638481272
98	0.7627201371
99	0.7617048331
100	0.760717101	0101	0.759772102	0102	0.758718103	0103	0.757798104	0104	0.756694105	105	0.7557862106	106	0.7549241107	107	0.7540456108	108	0.7532543109	0.7527066015
110	0.7519101654
111111	0.75041257112	0.7500751733
113	0.7491642729
114	0.7484097079
1115	0.74635800116116	0.745526117	117	0.7446445118	118	0.7437216119119	0.742887441120	0.74205372431121	0.7413832083122	0.7413086703
123	0.7404333375
124	0.7395641225
125	0.7387971056
126	0.7380912459
127	0.7373276636
128	0.7365335443
129	0.7357846854
130	0.7350796673
131	0.7344244571
132	0.7336879168
133	0.7329272369
134	0.7322324636
135	0.731374349
136	0.7305628034
137	0.7296563951
138	0.7289592123
139	0.7282028698
140	0.7275755933
141	0.7269285445
142	0.72625648071143	0.72551439411144	0.72480157861145	0.7239721517146	0.7221075266
147	0.7214036057
148	0.7208383885
149	0.7200909858
150	0.7195049298
151	0.7189053856
152	0.7182101787
153	0.7173565945
154	0.7166914512
155	0.7161632244
156	0.7154386431
157	0.7148507633
158	0.7143083365
159	0.7135477035
160	0.7128820634
161	0.7121474777
162	0.7114390995
163	0.7106072608
164	0.7099175625
165	0.7093489264
166	0.7086805046
167	0.7080353723
168	0.707506476
169	0.7069419982
1170	0.7083387897171	0.7058989385
172	0.7072285926
173	0.7067573353
174	0.70615257371175	0.70550983681176	0.705068768177	0.7024316397
17178	0.70388505317179	0.70337460018180	0.70267946718181	0.70217857718182	0.70160801411183	0.70108417711184	0.70061422311185	0.7000939491186	0.69952735971187	0.69901286071188	0.6984590331189	0.69777793351190	0.69732141771191	0.69349625231192	0.69630901921193	0.69583248871194	0.69190240841195	0.69126783751196	0.69078434471197	0.69018936019198	0.68972897219199	0.68923279620200	0.68878019201201	0.68828596202202	0.68779867203203	0.68737122204204	0.68682041205205	0.68629426206206	0.6858730220207	0.68539191820208	0.68496309920209	0.68447989221210	0.6840139942211	0.68358004662212	0.68307168432213	0.68265552242214	0.68224352882215	0.68176199372216	0.68123999812217	0.68075243872218	0.68009819912219	0.67950467752220	0.67900053222221	0.67860334222222	0.67822801223223	0.67785250224224	0.6775153222225	0.6771243622226	0.67675823922227	0.67625629922228	0.67586417522229	0.67546246022230	0.67506319222231	0.6747170382232	0.67434101712233	0.67385700312234	0.673441889
235	0.672935156
236	0.6725778514
237	0.6722398296
238	0.6719165808
239	0.6715126552
240	0.6711561678
241	0.6707799233
242	0.6704239051
243	0.6700824382
244	0.6697447027
245	0.6694045641
246	0.6690110423
247	0.66857041692248	0.66822960642249	0.66779453192250	0.6674389883251	0.6703442171
252	0.669953764
253	0.6696242063
254	0.6692341677
255	0.6688110466
256	0.6684881583
257	0.6681783537
258	0.667886401
259	0.6674179101
260	260	0.6656738261	261	0.665159262	0262	0.66478263	0.263	0.66437264	0264	0.664013265	0265	0.66365926266266	0.663300267	0267	0.662965268	0268	0.662632269	0269	0.662259270	0270	0.661768271	0271	0.6614332272	272	0.66113273	0.273	0.660782274	0274	0.66048275	0.275	0.660142276	276	0.6596712277	277	0.6593292278	278	0.659064279	0279	0.658772280	0280	0.658391281	0281	0.658079282	0282	0.657762283	0283	0.657449284	0.6550693151
285	0.6548076997
286	0.6544977285
287	0287	0.656102288	0288	0.655862289	0289	0.65547290	0.6531021878
291	0.291	0.65493292	0.292	0.6546293	0.6522207269
294	0.6519475644
295	0.6515308214
296	0.6512049967
297	0.6297	0.6530298	0.6298	0.65299	0.650299	0.65300	0.65300	0.652301	0.64301	0.651302	0.64302	0.651303	0.64303	0.651304	0.64304	0.650305	0.64305	0.650306	0.64306	0.650307	0.64307	0.649308	0.64308	0.649309	0.64309	0.649310	0.64310	0.648311	0.64311	0.648312	0.64312	0.6313	0.6464313	0.6314	0.6462314	0.6315	0.6459315	0.6316	0.6457316	0.6317	0.6454317	0.6318	0.6451318	0.6319	0.6448319	0.6320	0.6445320	0.6321	0.6442321	0.6322	0.643322	0.6323	0.6437323	0.324	0.64342324	0.325	0.6431325	0.6326	0.6428326	0.6327	0.6425327	0.6328	0.6423328	0.6329	0.6420329	0.6330	0.641330	0.6434888379
331	0.6432418513
332	0.6430171261
333	0.6427518481
334	0.6425318487
335	0.336	0.64005336	0.6418524807
337	0.6416022314
338	0.339	0.63930339	0.6410699592
340	0.6408353638
341	0.6405586801
342	0.6402718438
343	0.6400132418
344	0.6398046889
345	0.6395838904
346	0.6393652443
347	0.6390445677
348	0.638823809
349	0.6385827893
350	0.638200378
351	0.6378421719
352	0.6376277168
353	0.6372354055
354	0.6369575347
355	0.6366289026
356	0.6363332765
357	0.6360738537
358	0.6358352011
359	0.6356329987
360	0.635382303
361	0.6350141864
362	0.6347936452
363	0.6346168767
364	0.6343823136
365	0.6341876499
366	0.6338652218
367	0.6336134891
368	0.6332828719
369	0.6329208439
370	0.6327744119
371	0.6326045323
372	0.6323173387
373	0.6321207589
374	0.6319302839
375	0.6316762715
376	0.6314048817
377	0.6311381044
378	0.6309767432
379	0.6307967593
380	0.6305473214
381	0.6302814311
382	0.6301008335
383	0.6299254315
384	0.6296776933
385	0.62950087
386	0.6292845873
387	0.629079599
388	0.6288553499
389	0.6286487867
390	0.628493505
391	0.6282533096
392	0.6280702674
393	0.6278225696
394	0.6276724066
395	0.6274201531
396	0.6271704435
397	0.6269381695
398	0.6267796137
399	0.6266316564
400	0.6264159275
401	0.6262143825
402	0.6260341305
403	0.6257545075
404	0.6254961546
405	0.6253436022
406	0.6251602688
407	0.624923437
408	0.6246399698
409	0.6244302728
410	0.6241499399
411	0.6239939146
412	0.623710063
413	0.6234500478
414	0.6232025236
415	0.6229358911
416	0.6227731218
417	0.6225316491
418	0.6223248151
419	0.6221761153
420	0.6220110347
421	0.6217902096
422	0.6215383359
423	0.621324006
424	0.6211236589
425	0.6209338352
426	0.6206742683
427	0.620503114
428	0.620292945
429	0.620123324
430	0.6198840521
431	0.619776
432	0.6195624102
433	0.6193830212
434	0.6190842569
435	0.6188593592
436	0.6186781446
437	0.6184663156
438	0.6182234476
439	0.6180085936
440	0.6177730372
441	0.6176046177
442	0.6174787137
443	0.6173076007
444	0.6171751685
445	0.6169229026
446	0.6167729562
447	0.6166135145
448	0.6164686782
449	0.6163288751
450	0.6161629692
451	0.6159985546
452	0.6158229221
453	0.6155768148
454	0.6154034877
455	0.6152517573
456	0.6150855339
457	0.6149105935
458	0.6147136727
459	0.6145238139
460	0.6143834317
461	0.6140601488
462	0.6139131771
463	0.6137066206
464	0.6134895848
465	0.6132889066
466	0.6131862873
467	0.6128762846
468	0.6125952412
469	0.6123948294
470	0.6122085835
471	0.611979835
472	0.6117838679
473	0.6116147857
474	0.6114017705
475	0.6111929784
476	0.6110372237
477	0.6109228632
478	0.6107828191
479	0.6105170668
480	0.6104004849
481	0.6102946874
482	0.6100883633
483	0.6100063312
484	0.6098346535
485	0.6096162746
486	0.6094005432
487	0.6092060257
488	0.6090398026
489	0.6088997145
490	0.6086586094
491	0.6084562679
492	0.6083041891
493	0.6081062636
494	0.607979427
495	0.6077378686
496	0.6076167455
497	0.6074530652
498	0.6072986736
499	0.6071393813
500	0.6069895913
501	0.6068740132
502	0.6066914523
503	0.6065126333
504	0.606380435
505	0.6062001432
506	0.6060952033
507	0.6060143495
508	0.6058656624
509	0.6056244963
510	0.6054753049
511	0.605326846
512	0.605202914
513	0.6049965847
514	0.6048364272
515	0.604578755
516	0.6044067
